Date,Open,High,Low,Close,Volume,OpenInt
11/24/1982,4.4051,4.4682,4.3427,4.4478,672822,0
11/26/1982,4.3844,4.4051,4.3427,4.364,137169,0
11/29/1982,4.3427,4.4051,4.2596,4.3011,710756,0
11/30/1982,4.3011,4.3427,4.2379,4.2802,693513,0
12/1/1982,4.4478,4.531,4.364,4.4265,1256754,0
12/2/1982,4.5516,4.6974,4.4051,4.6563,368212,0
12/3/1982,4.6143,4.6775,4.5516,4.6143,226062,0
12/6/1982,4.6349,4.7606,4.5099,4.7606,524159,0
12/7/1982,4.8439,4.9068,4.7606,4.8234,798497,0
12/8/1982,4.8648,4.8857,4.8234,4.8648,435649,0
12/9/1982,4.9068,4.9896,4.8234,4.8648,437182,0
12/10/1982,4.8439,4.9273,4.7396,4.8023,487376,0
12/13/1982,4.7812,4.8234,4.7396,4.7606,158628,0
12/14/1982,4.8857,4.9482,4.7812,4.7812,399251,0
12/15/1982,4.6775,4.7812,4.5516,4.6143,751753,0
12/16/1982,4.6143,4.6775,4.5516,4.5725,198093,0
12/17/1982,4.6143,4.6349,4.5725,4.5934,90425,0
12/20/1982,4.6349,4.6775,4.5725,4.6349,86594,0
12/21/1982,4.7188,4.8857,4.5516,4.8439,508832,0
12/22/1982,4.9068,4.9896,4.8439,4.9068,343691,0
12/23/1982,5.0322,5.1573,4.9068,5.1367,509981,0
12/27/1982,5.2204,5.3029,5.1367,5.1989,678569,0
12/28/1982,5.2827,5.3242,5.2402,5.2616,1132229,0
12/29/1982,5.2616,5.3242,5.1778,5.1989,391586,0
12/30/1982,5.1778,5.1989,5.1573,5.1573,171655,0
12/31/1982,5.0733,5.1153,5.0108,5.0322,99238,0
1/3/1983,4.9273,5.0733,4.8023,4.8234,219932,0
1/4/1983,4.8023,4.8439,4.7606,4.8234,779725,0
1/5/1983,4.8648,4.9482,4.7606,4.8023,2501244,0
1/6/1983,4.9697,5.1573,4.8023,5.1153,12179390,0
1/7/1983,5.3242,5.4286,5.1989,5.3867,2702402,0
1/10/1983,5.5323,5.6794,5.3661,5.6168,1342962,0
1/11/1983,5.5539,5.6168,5.4911,5.575,1068241,0
1/12/1983,5.575,5.6581,5.3661,5.4286,980497,0
1/13/1983,5.4496,5.5125,5.3661,5.4078,1562511,0
1/14/1983,5.4286,5.4911,5.3448,5.4703,1974021,0
1/17/1983,5.5539,5.6374,5.4703,5.4911,776657,0
1/18/1983,5.2827,5.4078,5.1573,5.2204,381624,0
1/19/1983,5.1367,5.1989,5.0733,5.1573,343691,0
1/20/1983,5.2204,5.2827,5.1367,5.2402,494272,0
1/21/1983,5.1778,5.2402,5.0947,5.1153,826852,0
1/24/1983,4.9068,5.0108,4.8023,4.9068,834898,0
1/25/1983,4.9697,5.0322,4.9068,5.0322,766312,0
1/26/1983,5.0522,5.1153,4.9896,5.0108,677039,0
1/27/1983,5.2827,5.5323,5.0108,5.4078,816123,0
1/28/1983,5.2827,5.3661,5.1778,5.2616,675122,0
1/31/1983,5.2616,5.3867,5.1573,5.3867,826852,0
2/1/1983,5.3029,5.3661,5.2402,5.2402,444079,0
2/2/1983,5.2402,5.3448,5.1573,5.3242,326066,0
2/3/1983,5.3029,5.3661,5.2204,5.2616,547914,0
2/4/1983,5.3029,5.4078,5.1778,5.3661,1409248,0
2/7/1983,5.4078,5.4703,5.3448,5.4703,569754,0
2/8/1983,5.4703,5.5125,5.4078,5.5125,641021,0
2/9/1983,5.4078,5.4911,5.3242,5.3661,602706,0
2/10/1983,5.3661,5.3867,5.3242,5.3242,424536,0
2/11/1983,5.3661,5.4078,5.3242,5.4078,529139,0
2/14/1983,5.4496,5.5323,5.3448,5.4496,460937,0
2/15/1983,5.4703,5.5323,5.3867,5.4496,446759,0
2/16/1983,5.4078,5.4496,5.3661,5.3867,264380,0
2/17/1983,5.3867,5.4286,5.3242,5.3242,310739,0
2/18/1983,5.2827,5.3661,5.1778,5.2827,755967,0
2/22/1983,5.2827,5.3661,5.1989,5.3242,792366,0
2/23/1983,5.5323,5.7419,5.3242,5.721,1150618,0
2/24/1983,5.7419,5.8043,5.6794,5.7419,4184451,0
2/25/1983,5.7001,5.7833,5.6168,5.6581,998122,0
2/28/1983,5.5125,5.575,5.4286,5.4496,592360,0
3/1/1983,5.6168,5.7001,5.5125,5.7001,996973,0
3/2/1983,5.721,5.8043,5.6168,5.7626,906165,0
3/3/1983,5.7001,5.8252,5.5539,5.6374,213801,0
3/4/1983,5.6794,5.7419,5.5956,5.6794,488524,0
3/7/1983,5.7419,5.8252,5.6581,5.8252,868232,0
3/8/1983,5.8461,5.9086,5.7626,5.8043,911146,0
3/9/1983,5.8252,5.9297,5.721,5.9086,526841,0
3/10/1983,5.8461,5.9718,5.7001,5.7001,797733,0
3/11/1983,5.5539,5.7001,5.3867,5.4286,1012683,0
3/14/1983,5.4286,5.4703,5.3867,5.3867,729146,0
3/15/1983,5.4911,5.575,5.4078,5.575,245602,0
3/16/1983,5.5539,5.575,5.5125,5.5125,242155,0
3/17/1983,5.4703,5.5125,5.4286,5.4703,184684,0
3/18/1983,5.5125,5.6168,5.4078,5.4078,943715,0
3/21/1983,5.3661,5.4078,5.3029,5.3448,504234,0
3/22/1983,5.3448,5.3661,5.2204,5.2204,612666,0
3/23/1983,5.3867,5.4078,5.2402,5.3448,856738,0
3/24/1983,5.3448,5.3867,5.2827,5.3867,466684,0
3/25/1983,5.3867,5.3867,5.2616,5.2616,163989,0
3/28/1983,5.2616,5.3448,5.1367,5.2204,461321,0
3/29/1983,5.2827,5.3029,5.2402,5.2827,255566,0
3/30/1983,5.2827,5.4496,5.2827,5.4496,1087397,0
3/31/1983,5.4496,5.575,5.2402,5.2616,487376,0
4/4/1983,5.2616,5.3867,5.2204,5.3867,815739,0
4/5/1983,5.3867,5.4496,5.3661,5.4078,198474,0
4/6/1983,5.3661,5.3867,5.3029,5.3029,646385,0
4/7/1983,5.3029,5.3867,5.2827,5.3661,523390,0
